INDICE,SP_ALCALDIA,SP_CALLE,SP_NUMERO,SP_COLONIA,SP_CODIGO,SP_NOMBRE,SP_DESCRIP,SP_NIVELES,SP_PERIMET,X,Y
27196,CUAUHTEMOC,DR. ATL,80,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1573729287,19.443957551
27204,CUAUHTEMOC,DOCTOR ATL,70,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1574408885,19.4435427917
27205,CUAUHTEMOC,DR ATL,74,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,,,-99.1574421341,19.4437305262
27207,CUAUHTEMOC,STA MA LA RIBERA,71,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM4,,-99.1575455656,19.4447062601
27208,CUAUHTEMOC,SANTA MARIA LA RIBERA,55,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1577079671,19.4437747188
27209,CUAUHTEMOC,STA MA LA RIBERA,63,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM4,,-99.1575432159,19.4442517224
27210,CUAUHTEMOC,SANTA MARIA LA RIBERA,61,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1575819775,19.4441161863
27212,CUAUHTEMOC,AMADO NERVO,45,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1576548165,19.4435016942
27213,CUAUHTEMOC,DR ATL,67,SANTA MARIA LA RIBERA,06400,"INAH, INBA, SEDUVI","Inmueble afecto al patrimonio cultural urbano de valor histórico por el Instituto Nacional de Antropología e Historia, de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivien",CHPPSM4,,-99.1574556113,19.4444494288
27221,CUAUHTEMOC,DR. ATL,28,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1577915219,19.4415785792
